id,author,id,authorThumb,text,likes,time,timestamp,edited,hasReplies,,numReplies,reply.id,,,,,
Ugw-qOxaQJbQE1p_-H54AaABAg,King Hidayat,/channel/UCATkNXepqbwJHOsxJbc0haQ,https://yt3.ggpht.com/a/AGF-l7-Vg9-3pm-cU5oHuxR9XRLSX_8rny22uYRXSg=s48-c-k-c0xffffffff-no-rj-mo,Not a single person life will spare...nd not a single person in this video will came back to home safe and sounded....InShAllah...,0,4 days ago,1578165587181,false,true,EkQSC1dfS29tSlVvS3Y0wAEAyAEA4AEBogINKP___________wFAAMICGxoXaHR0cHM6Ly93d3cueW91dHViZS5jb20iABgGMk0aSxIaVWd3LXFPeGFRSmJRRTFwXy1INTRBYUFCQWciAggAKhhVQ0l6WGF5UlA3LVAwQU5wcS1uRC1oNWcyC1dfS29tSlVvS3Y0QAFICg%3D%3D,1,,,,,,
Ugw-tgxrCDVn9nfKpWF4AaABAg,Mr muang ko zaw,/channel/UCwGTemVr7UILcDa-lSe8sGw,https://yt3.ggpht.com/a/AGF-l79oBxlm0Zjsnaya8VJIrgcr01SVcck1luPWEw=s48-c-k-c0xffffffff-no-rj-mo,Good,0,1 day ago,1578424610281,false,false,,,,,,,,
Ugw00zRVnfPS564DpFt4AaABAg,My name is Khan,/channel/UClh302V_1On0owN4BUj3ucg,https://yt3.ggpht.com/a/AGF-l7-hvEVDzUd2jh-9hepEZ6qEq1MidtKpn4JZYg=s48-c-k-c0xffffffff-no-rj-mo,Why is trump putting these young boys lives at risk too. Yhey have families and wish to live . He starts a problem then sends his youth to tisk thrir lives as well as others lives. SAY NO TO WAR.,0,2 days ago,1578338230549,false,false,,,,,,,,
Ugw09Bm3DOjVIFVZjUp4AaABAg,Krishan B,/channel/UCMz6_kNiO_VViGol4hUVQvg,https://yt3.ggpht.com/a/AGF-l7-fd2BRYvNwqg-SFw0fG1UiLdr03y2h1uWRBQ=s48-c-k-c0xffffffff-no-rj-mo,"Send thousands of American Flags too, Again they will come back wrapped in the Flags like last time. This old Sheep going to make mess again.",0,3 days ago,1578251867413,false,false,,,,,,,,
Ugw0AArYHCgBVGq2W554AaABAg,English Easy,/channel/UCDuPSyrIfq_rVSF5Dzbqapw,https://yt3.ggpht.com/a/AGF-l78oARTFVxHJTB_73rFIPyo6H1vE37iuRXoypw=s48-c-k-c0xffffffff-no-rj-mo,May God protect all American soldiers I'm proud of you I'm from Brazil god bless u,0,3 days ago,1578251906819,false,false,,,,,,,,
Ugw0b9lQlZJRxiPQT5B4AaABAg,JesusSaves #G2g,/channel/UCqoo_rDEFjxnJVLNlzXQqww,https://yt3.ggpht.com/a/AGF-l7-Z0JBofw6CX7lukeCLhiD25Bfg16OlIBA41g=s48-c-k-c0xffffffff-no-rj-mo,All of you need to really reconsider your way of thinking. War has never been a good Solution for us normal people,1,5 days ago,1578079237931,true,true,EkQSC1dfS29tSlVvS3Y0wAEAyAEA4AEBogINKP___________wFAAMICGxoXaHR0cHM6Ly93d3cueW91dHViZS5jb20iABgGMk0aSxIaVWd3MGI5bFFsWkpSeGlQUVQ1QjRBYUFCQWciAggAKhhVQ0l6WGF5UlA3LVAwQU5wcS1uRC1oNWcyC1dfS29tSlVvS3Y0QAFICg%3D%3D,9,,,,,,
Ugw0baK99srhbCECW5R4AaABAg,eilishlikeaneyelash,/channel/UCmMk4FWH6WLbugIUnnw02oQ,https://yt3.ggpht.com/a/AGF-l7_Hf4dpFqVkJlUf-B3vXtH4SIMYAtwgSR9aCg=s48-c-k-c0xffffffff-no-rj-mo,ok time to dig a hole in my closet,1,3 days ago,1578251897672,false,false,,,,,,,,
Ugw0dKBzHiaCKdJhIP14AaABAg,Cameron Hart,/channel/UCh5a5cmYAzwa-7ayZ9fXDHw,https://yt3.ggpht.com/a/AGF-l7_ZzcoMsZli7fK44t5OO_B8rhOufKF63-BXbA=s48-c-k-c0xffffffff-no-rj-mo,The U.S needs to leave the middle east.,0,1 hour ago,1578507392159,false,false,,,,,,,,
Ugw0JiUi8uXAanLb6dF4AaABAg,Jim Lord,/channel/UCdgPnQKZJVtmQ8FvkYwq4jQ,https://yt3.ggpht.com/a/AGF-l78x4vSJ1omXNbJUMkUKbUOfKXQyxXsKx46u1g=s48-c-k-c0xffffffff-no-rj-mo,"This will not be, God SAVE THE QUEEN.. \nW. W. 3. \nGod SAVE MANKIND.",0,8 hours ago,1578482198062,true,false,,,,,,,,
Ugw0jTeMhzZM5ylhFFx4AaABAg,Happy Waibi,/channel/UCZird1IMlDn7SfcjpMBmk5A,https://yt3.ggpht.com/a/AGF-l79ToUgtZjsZBwwghkbugIG82LhlSTJHnWNMzQ=s48-c-k-c0xffffffff-no-rj-mo,This world is wicked,0,1 day ago,1578424611112,false,false,,,,,,,,
Ugw0mRJ7oq4eBxY7b_F4AaABAg,Adam Eve,/channel/UCHV5xQ8h6Sq86GzNuJTTf_g,https://yt3.ggpht.com/a/AGF-l7-c0Nxf-B93o2WlIkEYBDofEtO40dtbO5ISqw=s48-c-k-c0xffffffff-no-rj-mo,Old Stupids take decisions and poor youngsters implement their masters orders,2,5 days ago,1578079205087,false,false,,,,,,,,
Ugw0nKUqNTjejgYE-LN4AaABAg,Gadget Buzzer,/channel/UCJ5b1VysAtttAQTnBFVDQOg,https://yt3.ggpht.com/a/AGF-l79D2b5MEW6ZqWkl21VpsEJ0rIyXXozZCc3L-g=s48-c-k-c0xffffffff-no-rj-mo,It's party time,0,4 days ago,1578165577170,false,false,,,,,,,,
Ugw0TIotkAo9dljfNYJ4AaABAg,火 D E V I L 火戈 D E V I L 戈,/channel/UCqvVyz3etKxy-GtY3QY3yog,https://yt3.ggpht.com/a/AGF-l79yMiSL28velFfsned7RUySUoG758bERXNNWw=s48-c-k-c0xffffffff-no-rj-mo,That 🐖 is gambling so many soldiers life for his own personal interest,16,2 days ago,1578338234959,false,true,EkQSC1dfS29tSlVvS3Y0wAEAyAEA4AEBogINKP___________wFAAMICGxoXaHR0cHM6Ly93d3cueW91dHViZS5jb20iABgGMk0aSxIaVWd3MFRJb3RrQW85ZGxqZk5ZSjRBYUFCQWciAggAKhhVQ0l6WGF5UlA3LVAwQU5wcS1uRC1oNWcyC1dfS29tSlVvS3Y0QAFICg%3D%3D,2,,,,,,
Ugw0vEWnhtBn1J4MQxJ4AaABAg,Jorge Luis Orostica maureira,/channel/UClj8QADlwomvnNXf4VIMGrw,https://yt3.ggpht.com/a/AGF-l78u6GaMx35cdjwvEQVjZgIdHzqOHg8rN9AYSg=s48-c-k-c0xffffffff-no-rj-mo,Para volver locos !!!! Jajaja tropa de imbéciles......,0,5 days ago,1578079232130,false,false,,,,,,,,
Ugw0YEclq6wvaMMYGYR4AaABAg,rick nguyen,/channel/UCgtdU_vfuWoe6b4KdCSlqRw,https://yt3.ggpht.com/a/AGF-l7_g4SzqWAk7dckSMGNAX6VFVZTJExvsa4lHDw=s48-c-k-c0xffffffff-no-rj-mo,Make sure you buy two way ticket back.,0,1 day ago,1578424620793,false,false,,,,,,,,
Ugw0ZgK3BC2mvLBVD6F4AaABAg,Khan Atta Muhammad,/channel/UC61h9WvaEwD4E7IbnED7Ndg,https://yt3.ggpht.com/a/AGF-l7_dWZ8wnSVqv10L5ea6Dsrz9YqjM2ddJYpVcQ=s48-c-k-c0xffffffff-no-rj-mo,Is peace in the world impossible?\nWho were responsible for starting wars in history?\nPeople of planet wants peace not war.,0,3 days ago,1578251902015,true,true,EkQSC1dfS29tSlVvS3Y0wAEAyAEA4AEBogINKP___________wFAAMICGxoXaHR0cHM6Ly93d3cueW91dHViZS5jb20iABgGMk0aSxIaVWd3MFpnSzNCQzJtdkxCVkQ2RjRBYUFCQWciAggAKhhVQ0l6WGF5UlA3LVAwQU5wcS1uRC1oNWcyC1dfS29tSlVvS3Y0QAFICg%3D%3D,1,,,,,,
Ugw119SYeF1eLirWXZp4AaABAg,Sonata Systems,/channel/UCa1aB4W9pm6iOlwJkPRlo5A,https://yt3.ggpht.com/a/AGF-l7-nkdPeY0E3wim7y5MfYS50qcwVZKWdiW1P8A=s48-c-k-c0xffffffff-no-rj-mo,"Can we please rid ourselves of this crude oil dependency?   It's time to remake our economies on clean, sustainable energy sources.  That region is a snake pit.",0,4 days ago,1578165556536,false,false,,,,,,,,
Ugw11EblDpjPV_hpt5V4AaABAg,Nashawn Francis,/channel/UC6IE-_5_v2VWJkpTLk75Q2g,https://yt3.ggpht.com/a/AGF-l7-HF-hymkQfezP9bRakDVfz07In_i5hVdJ1MQ=s48-c-k-c0xffffffff-no-rj-mo,🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,0,2 days ago,1578338231332,false,false,,,,,,,,
Ugw1ClLh2XJBmhhptyt4AaABAg,Boomy2710x,/channel/UCuVr60BGVuH_yYkywTK2G9w,https://yt3.ggpht.com/a/AGF-l7--pU2awI74Geemy2Xb9PMnBEvju6CJUH8M0w=s48-c-k-c0xffffffff-no-rj-mo,"So be pulls them out, just to send them back a couple of months later anyways 🤦‍♂️, we wouldn’t be having these problems in the Middle East if it wasn’t for America’s and UKs hunger for oil",1,5 days ago,1578079269054,false,true,EkQSC1dfS29tSlVvS3Y0wAEAyAEA4AEBogINKP___________wFAAMICGxoXaHR0cHM6Ly93d3cueW91dHViZS5jb20iABgGMk0aSxIaVWd3MUNsTGgyWEpCbWhocHR5dDRBYUFCQWciAggAKhhVQ0l6WGF5UlA3LVAwQU5wcS1uRC1oNWcyC1dfS29tSlVvS3Y0QAFICg%3D%3D,3,,,,,,
Ugw1JrKm0bmjq36XpVt4AaABAg,Jonathan Maglangit,/channel/UCoUTeXTHrzEe-8P2eDeR9-Q,https://yt3.ggpht.com/a/AGF-l78JR0mBFFliFQsxLt7OaX1_e_QUBG826NIz5w=s48-c-k-c0xffffffff-no-rj-mo,no one can comeback  their home.,0,4 days ago,1578165553780,false,false,,,,,,,,
Ugw1PqNe8Sd9o7amK494AaABAg,FELICIA PARKER,/channel/UCsM_jfR_ybrj05GRN-50kHw,https://yt3.ggpht.com/a/AGF-l7864ZFt8KOk15gG8xhv6B8t8vfOklffG3myTA=s48-c-k-c0xffffffff-no-rj-mo,I CANT BELIEVE ONE DEATH WILL COST US ALL MILLIONS IF THIS SITUATION IS NOT SETTLED,35,2 days ago,1578338248711,false,true,EkQSC1dfS29tSlVvS3Y0wAEAyAEA4AEBogINKP___________wFAAMICGxoXaHR0cHM6Ly93d3cueW91dHViZS5jb20iABgGMk0aSxIaVWd3MVBxTmU4U2Q5bzdhbUs0OTRBYUFCQWciAggAKhhVQ0l6WGF5UlA3LVAwQU5wcS1uRC1oNWcyC1dfS29tSlVvS3Y0QAFICg%3D%3D,11,,,,,,
Ugw1RIONgqx-Zz3TOPR4AaABAg,william scollard,/channel/UC2ehJa-vYaLlka6UspxAM7w,https://yt3.ggpht.com/a/AGF-l7_D28xscTMviVaHG_rbNQx_xpDd7abtl_6_YQ=s48-c-k-c0xffffffff-no-rj-mo,WTF.....,0,3 days ago,1578251872952,false,false,,,,,,,,
Ugw1uy788vk9S8F2yB94AaABAg,Female Ranger of Norrath,/channel/UCie7htK571optT_fvPmieKA,https://yt3.ggpht.com/a/AGF-l78ldUjp7Pikgxxg1fzUSRe9dnI0cx-M3Rs8jg=s48-c-k-c0xffffffff-no-rj-mo,"Dear ""The Sun"" 🌤🌞\nThank you for posting.\nHow come we are hurting another country?🙄\nI hate to be an a$$hole, but perhaps the folks in the military need to hear about my dad.\nTrue Story\nYear: 1938\nWW2 Draft\nMy dad was 18 years old. \nHe reported to the Army as told. \nArmy Sergeant asked ""Will you fight?"" 👨‍✈️\nMy dad said:\n""No.""\n""They have families, I want one of my own someday. They did no harm to me, there is no reason to fight.""\nAlso he fully believed in the Bible:\n""Thou shall not kill""\nHe was never drafted again, and given a letter of clear conscience.\nHe became a teacher, a dad, the best he could do.\nAnd a vehicle inspector for GM as well.\nMy dad was my hero.\nBorn in 1920.\nPassed in 2000.\nHe left me, my sister and just 1 granddaughter.\nLove in 💕\nMichigan \nUSA 🇺🇸\nPeace 🌿🕊\nP.S. \nPlease queue the song:\n🎼🎸🎤🎵🎶\n""Other Arms""\nMade famous by:\nMr. Robert Plant",1,6 days ago,1577992880328,true,false,,,,,,,,
Ugw1wjLp0atScR7sbUp4AaABAg,Augusta Vaughan,/channel/UCYKzxTkS5r0g-btQYuVJYgg,https://yt3.ggpht.com/a/AGF-l78GqAfRrA6UgeoMmMi7w61pJkrgRc9j2qLTzw=s48-c-k-c0xffffffff-no-rj-mo,May God be with you.,0,4 days ago,1578165524113,false,false,,,,,,,,
Ugw20xFOMgd09ow1vkx4AaABAg,Longam Tomba,/channel/UCCdGAgOAjnp9Evugivj16kQ,https://yt3.ggpht.com/a/AGF-l79Mhys9PTMDAUL0NGFRb0xZwslQQrfcziVvtg=s48-c-k-c0xffffffff-no-rj-mo,This dogs ready to die for nothing ..!!,1,4 days ago,1578165585061,false,false,,,,,,,,
Ugw27_GUxuJYVUM0zv54AaABAg,Ninja Torumiz,/channel/UCKGOr4gfoo0qy09M6qVXkvA,https://yt3.ggpht.com/a/AGF-l7_5wx6SwW06IQBY10ars2QjV0V1Wa1ksE9fFg=s48-c-k-c0xffffffff-no-rj-mo,System Of A Down - B.Y.O.B,1,4 days ago,1578165553754,false,false,,,,,,,,
Ugw2AyF8pTDcslR-XYB4AaABAg,Cameron Conner,/channel/UC46dWCjm2iOhbjz6bwdJrtg,https://yt3.ggpht.com/a/AGF-l78I9HA8WypB90H3CB4zIi4tn7o1adbfgZUb=s48-c-k-c0xffffffff-no-rj-mo,Dame my brother in law is over there in Iraq,0,3 days ago,1578251878388,false,false,,,,,,,,
Ugw2ITjiQyDRJOr-TTl4AaABAg,Show life To living,/channel/UCns67xiBdY9Kp8_zzkpVXOQ,https://yt3.ggpht.com/a/AGF-l7_wZywfFAgYO_XyipX3CHiSGlXoMa5YMheMqQ=s48-c-k-c0xffffffff-no-rj-mo,Good luck brother sister,0,2 days ago,1578338231323,false,false,,,,,,,,
Ugw2jeZkYRM3CGGGbeh4AaABAg,Josafath Luna,/channel/UCQzJh27UDZRjICXSYTxx_kg,https://yt3.ggpht.com/a/AGF-l78CQH1OKy-8nOH1l-vKuKhjpD-tK90i700LpA=s48-c-k-c0xffffffff-no-rj-mo,Omg thank you for your suurvivee murica! 😬🤮,0,2 days ago,1578338263145,false,false,,,,,,,,
Ugw2Jk5QHS0dyc2PL5t4AaABAg,maria theresa Mangayaay,/channel/UCRDbLF0T_7yi66GdiV3mvYQ,https://yt3.ggpht.com/a/AGF-l78MxN66Ww4i-sYJHw4GOn24yteKoEnCUFlnHw=s48-c-k-c0xffffffff-no-rj-mo,The care everyone,0,9 hours ago,1578478599530,false,false,,,,,,,,
Ugw2KYu9WT3QbVMugwd4AaABAg,Wane Braddy,/channel/UC1Zhfob_pzzr0HxoemVZ7yg,https://yt3.ggpht.com/a/AGF-l79VKKQ32SZ5TIm2a2EAuvV57XRlQQ3TgFiM7g=s48-c-k-c0xffffffff-no-rj-mo,good luck boys hope no one has to die. lol at the guy clapping at 4:21 who let borat in this video?,5,5 days ago,1578079225658,true,false,,,,,,,,
Ugw2OmU1jnLLvDZIxG94AaABAg,Paul MacGregor,/channel/UCfJu7eduSRPNMPnIW1INjRw,https://yt3.ggpht.com/a/AGF-l78MzCpcOujXehxD7LJ4ox4d4R8seap2xSF0OA=s48-c-k-c0xffffffff-no-rj-mo,Imagine all the people\nLiving life in peace. \n\nSay no to war,67,3 days ago,1578251870188,false,true,EkQSC1dfS29tSlVvS3Y0wAEAyAEA4AEBogINKP___________wFAAMICGxoXaHR0cHM6Ly93d3cueW91dHViZS5jb20iABgGMk0aSxIaVWd3Mk9tVTFqbkxMdkRaSXhHOTRBYUFCQWciAggAKhhVQ0l6WGF5UlA3LVAwQU5wcS1uRC1oNWcyC1dfS29tSlVvS3Y0QAFICg%3D%3D,8,,,,,,
